
i	x1	x2	f(x1)	f(x2)	a	b
	1	8,9999999995	9,0000000005	3,999999998	4,000000002	-2	9,0000000005
	2	3,49999999975	3,50000000075	12,25000000175	12,24999999475	3,49999999975	9,0000000005
	3	6,249999999625	6,250000000625	0,562500000562499	0,562499999062499	6,249999999625	9,0000000005
	4	7,6249999995625	7,6250000005625	0,390624999453125	0,390625000703125	6,249999999625	7,6250000005625
	5	6,93749999959375	6,93750000059375	0,00390625005078116	0,00390624992578115	6,93749999959375	7,6250000005625
	6	7,28124999957813	7,28125000057813	0,0791015622626958	0,0791015628251959	6,93749999959375	7,28125000057813
	7	7,10937499958594	7,10937500058594	0,011962890534424	0,011962890753174	6,93749999959375	7,10937500058594
	8	7,02343749958984	7,02343750058984	0,000549316387023963	0,000549316433898967	6,93749999959375	7,02343750058984
	9	6,9804687495918	6,9804687505918	0,000381469742507905	0,000381469703445402	6,9804687495918	7,02343750058984
	10	7,00195312459082	7,00195312559082	3,81469566727177e-06	3,81469957352228e-06	6,9804687495918	7,00195312559082
	11	6,99121093709131	6,99121093809131	7,72476268129098e-05	7,72476092347835e-05	6,99121093709131	7,00195312559082
	12	6,99658203084107	6,99658203184107	1,16825131714255e-05	1,16825063354876e-05	6,99658203084107	7,00195312559082
	13	6,99926757771594	6,99926757871594	5,36442402181662e-07	5,36440937337973e-07	6,99926757771594	7,00195312559082
	14	7,00061035115338	7,00061035215338	3,72528530435733e-07	3,72529751139141e-07	6,99926757771594	7,00061035215338
	15	6,99993896443466	6,99993896543466	3,72534023589713e-09	3,72521816575636e-09	6,99993896443466	7,00061035215338
	16	7,00027465779402	7,00027465879402	7,54369038175337e-08	7,54374531341672e-08	6,99993896443466	7,00027465879402
	17	7,00010681111434	7,00010681211434	1,14086141472806e-08	1,1408827770527e-08	6,99993896443466	7,00010681211434
	18	7,0000228877745	7,0000228887745	5,23850221750482e-10	5,23895998303278e-10	6,99993896443466	7,0000228887745
